id,tenant_id,lease_id,category,title,description,status,priority,created_at,updated_at,resolved_at
769,203,175,ELECTRICAL,ELECTRICAL Issue - Unit 501,Bathroom light burned out in Unit 501,IN_PROGRESS,HIGH,2026-05-14 17:39:11.438968+00:00,2026-05-14 17:39:11.438982+00:00,
770,180,152,ELECTRICAL,ELECTRICAL Issue - Unit 208,Bedroom outlet sparks when plugging in charger in Unit 208,IN_PROGRESS,MEDIUM,2026-05-14 17:39:11.554693+00:00,2026-05-14 17:39:11.554704+00:00,
771,197,169,ELECTRICAL,ELECTRICAL Issue - Unit 405,Circuit breaker keeps tripping in Unit 405,RESOLVED,MEDIUM,2026-05-14 17:39:11.664881+00:00,2026-05-14 17:39:11.664894+00:00,
772,205,177,STRUCTURAL,STRUCTURAL Issue - Unit 503,Wall crack appearing in Unit 503 bedroom,OPEN,HIGH,2026-05-14 17:39:11.774742+00:00,2026-05-14 17:39:11.774755+00:00,
773,210,182,PLUMBING,PLUMBING Issue - Unit 508,Bathroom sink clogged in Unit 508,OPEN,MEDIUM,2026-05-14 17:39:11.885210+00:00,2026-05-14 17:39:11.885225+00:00,
774,204,176,STRUCTURAL,STRUCTURAL Issue - Unit 502,Floor tiles loose in Unit 502 kitchen,OPEN,MEDIUM,2026-05-14 17:39:11.994225+00:00,2026-05-14 17:39:11.994237+00:00,
775,198,170,OTHER,OTHER Issue - Unit 406,Neighbors too noisy during midnight in Unit 406,OPEN,MEDIUM,2026-05-14 17:39:12.103227+00:00,2026-05-14 17:39:12.103241+00:00,
776,173,145,ELECTRICAL,ELECTRICAL Issue - Unit 201,Circuit breaker keeps tripping in Unit 201,RESOLVED,LOW,2026-05-14 17:39:12.212567+00:00,2026-05-14 17:39:12.212580+00:00,
777,206,178,ELECTRICAL,ELECTRICAL Issue - Unit 504,Bedroom outlet sparks when plugging in charger in Unit 504,IN_PROGRESS,LOW,2026-05-14 17:39:12.321598+00:00,2026-05-14 17:39:12.321615+00:00,
778,199,171,STRUCTURAL,STRUCTURAL Issue - Unit 407,Ceiling water stain in Unit 407,RESOLVED,MEDIUM,2026-05-14 17:39:12.431483+00:00,2026-05-14 17:39:12.431498+00:00,
779,177,149,ELECTRICAL,ELECTRICAL Issue - Unit 205,Power outlet not working in Unit 205,OPEN,HIGH,2026-05-14 17:39:12.541134+00:00,2026-05-14 17:39:12.541144+00:00,
780,193,165,PLUMBING,PLUMBING Issue - Unit 401,Low water pressure in shower of Unit 401,OPEN,HIGH,2026-05-14 17:39:12.650479+00:00,2026-05-14 17:39:12.650496+00:00,
781,196,168,OTHER,OTHER Issue - Unit 404,Neighbors too noisy during midnight in Unit 404,OPEN,MEDIUM,2026-05-14 17:39:12.760126+00:00,2026-05-14 17:39:12.760141+00:00,
782,191,163,STRUCTURAL,STRUCTURAL Issue - Unit 309,Door frame damaged in Unit 309,IN_PROGRESS,LOW,2026-05-14 17:39:12.869184+00:00,2026-05-14 17:39:12.869202+00:00,
783,188,160,PLUMBING,PLUMBING Issue - Unit 306,Low water pressure in shower of Unit 306,RESOLVED,HIGH,2026-05-14 17:39:12.979093+00:00,2026-05-14 17:39:12.979108+00:00,
784,181,153,ELECTRICAL,ELECTRICAL Issue - Unit 209,Bathroom light burned out in Unit 209,RESOLVED,MEDIUM,2026-05-14 17:39:13.088349+00:00,2026-05-14 17:39:13.088363+00:00,
785,193,165,ELECTRICAL,ELECTRICAL Issue - Unit 401,Power outlet not working in Unit 401,OPEN,HIGH,2026-05-14 17:39:13.143088+00:00,2026-05-14 17:39:13.143106+00:00,
786,200,172,PLUMBING,PLUMBING Issue - Unit 408,Low water pressure in shower of Unit 408,OPEN,HIGH,2026-05-14 17:39:13.252556+00:00,2026-05-14 17:39:13.252567+00:00,
787,193,165,OTHER,OTHER Issue - Unit 401,Internet connection unstable in Unit 401,IN_PROGRESS,MEDIUM,2026-05-14 17:39:13.306920+00:00,2026-05-14 17:39:13.306936+00:00,
788,207,179,OTHER,OTHER Issue - Unit 505,Bad smell in hallway near Unit 505,RESOLVED,LOW,2026-05-14 17:39:13.415299+00:00,2026-05-14 17:39:13.415314+00:00,
789,173,145,PLUMBING,PLUMBING Issue - Unit 201,Bathroom sink clogged in Unit 201,RESOLVED,LOW,2026-05-14 17:39:13.469680+00:00,2026-05-14 17:39:13.469697+00:00,
790,188,160,ELECTRICAL,ELECTRICAL Issue - Unit 306,Bathroom light burned out in Unit 306,RESOLVED,LOW,2026-05-14 17:39:13.524094+00:00,2026-05-14 17:39:13.524113+00:00,
791,198,170,OTHER,OTHER Issue - Unit 406,Bad smell in hallway near Unit 406,RESOLVED,MEDIUM,2026-05-14 17:39:13.578990+00:00,2026-05-14 17:39:13.579004+00:00,
792,207,179,OTHER,OTHER Issue - Unit 505,Aircon leaking in Unit 505 bedroom,OPEN,HIGH,2026-05-14 17:39:13.633668+00:00,2026-05-14 17:39:13.633686+00:00,
793,204,176,ELECTRICAL,ELECTRICAL Issue - Unit 502,Light fixture flickering in Unit 502 living room,IN_PROGRESS,LOW,2026-05-14 17:39:13.688195+00:00,2026-05-14 17:39:13.688209+00:00,
794,190,162,OTHER,OTHER Issue - Unit 308,Neighbors too noisy during midnight in Unit 308,OPEN,LOW,2026-05-14 17:39:13.797499+00:00,2026-05-14 17:39:13.797512+00:00,
795,177,149,ELECTRICAL,ELECTRICAL Issue - Unit 205,Bedroom outlet sparks when plugging in charger in Unit 205,OPEN,HIGH,2026-05-14 17:39:13.852133+00:00,2026-05-14 17:39:13.852143+00:00,
796,208,180,OTHER,OTHER Issue - Unit 506,Internet connection unstable in Unit 506,RESOLVED,MEDIUM,2026-05-14 17:39:13.960980+00:00,2026-05-14 17:39:13.960991+00:00,
797,178,150,OTHER,OTHER Issue - Unit 206,Cockroaches seen near kitchen cabinet in Unit 206,OPEN,MEDIUM,2026-05-14 17:39:14.069944+00:00,2026-05-14 17:39:14.069957+00:00,
798,174,146,OTHER,OTHER Issue - Unit 202,Internet connection unstable in Unit 202,RESOLVED,LOW,2026-05-14 17:39:14.178728+00:00,2026-05-14 17:39:14.178738+00:00,
799,211,183,OTHER,OTHER Issue - Unit 509,Neighbors too noisy during midnight in Unit 509,OPEN,LOW,2026-05-14 17:39:14.287965+00:00,2026-05-14 17:39:14.287975+00:00,
800,178,150,OTHER,OTHER Issue - Unit 206,Aircon leaking in Unit 206 bedroom,OPEN,MEDIUM,2026-05-14 17:39:14.342983+00:00,2026-05-14 17:39:14.342995+00:00,
801,182,154,STRUCTURAL,STRUCTURAL Issue - Unit 210,Door frame damaged in Unit 210,OPEN,MEDIUM,2026-05-14 17:39:14.452478+00:00,2026-05-14 17:39:14.452493+00:00,
802,208,180,STRUCTURAL,STRUCTURAL Issue - Unit 506,Wall crack appearing in Unit 506 bedroom,IN_PROGRESS,HIGH,2026-05-14 17:39:14.506739+00:00,2026-05-14 17:39:14.506753+00:00,
803,175,147,PLUMBING,PLUMBING Issue - Unit 203,Bathroom sink clogged in Unit 203,OPEN,HIGH,2026-05-14 17:39:14.615640+00:00,2026-05-14 17:39:14.615654+00:00,
804,206,178,ELECTRICAL,ELECTRICAL Issue - Unit 504,Light fixture flickering in Unit 504 living room,OPEN,MEDIUM,2026-05-14 17:39:14.669747+00:00,2026-05-14 17:39:14.669757+00:00,
805,185,157,OTHER,OTHER Issue - Unit 303,Aircon leaking in Unit 303 bedroom,IN_PROGRESS,HIGH,2026-05-14 17:39:14.779003+00:00,2026-05-14 17:39:14.779284+00:00,
