id,user_id,reference_code,bill_ids,payment_type,payment_method,amount,status,tenant_note,preferred_date,preferred_time,schedule_confirmed,created_at
896,209,REF-20230512-2946,2946,full,GCASH,63059.64,APPROVED,,,,False,2026-05-14 17:36:39.323402+00:00
897,176,REF-20230510-1758,1758,full,CASH,73253.88,APPROVED,,,,False,2026-05-14 17:36:39.579565+00:00
898,196,REF-20230510-2478,2478,full,CASH,50575.14,APPROVED,,,,False,2026-05-14 17:36:39.690170+00:00
899,190,REF-20230511-2262,2262,full,CASH,109906.96,APPROVED,,,,False,2026-05-14 17:36:39.800283+00:00
900,210,REF-20230703-2982,2982,full,GCASH,87894.03,APPROVED,,,,False,2026-05-14 17:36:39.910156+00:00
901,184,REF-20230515-2046,2046,full,CASH,93775.33,APPROVED,,,,False,2026-05-14 17:36:40.020652+00:00
902,182,REF-20230510-1974,1974,full,CASH,88516.54,APPROVED,,,,False,2026-05-14 17:36:40.130990+00:00
903,201,REF-20230505-2658,2658,full,GCASH,140562.97,APPROVED,,,,False,2026-05-14 17:36:40.240393+00:00
904,185,REF-20230515-2082,2082,full,GCASH,95370.10,APPROVED,,,,False,2026-05-14 17:36:40.350022+00:00
905,204,REF-20230515-2766,2766,full,CASH,61605.19,APPROVED,,,,False,2026-05-14 17:36:40.460080+00:00
906,193,REF-20230510-2370,2370,full,GCASH,104703.34,APPROVED,,,,False,2026-05-14 17:36:40.569707+00:00
907,202,REF-20230510-2694,2694,full,CASH,91736.68,APPROVED,,,,False,2026-05-14 17:36:40.680322+00:00
908,181,REF-20230509-1938,1938,full,GCASH,49558.53,APPROVED,,,,False,2026-05-14 17:36:40.790174+00:00
909,205,REF-20230505-2802,2802,full,GCASH,48035.25,APPROVED,,,,False,2026-05-14 17:36:40.899044+00:00
910,200,REF-20230515-2622,2622,full,GCASH,82064.12,APPROVED,,,,False,2026-05-14 17:36:41.008715+00:00
911,186,REF-20230517-2118,2118,full,GCASH,107290.90,APPROVED,,,,False,2026-05-14 17:36:41.117809+00:00
912,180,REF-20230510-1902,1902,full,CASH,51608.34,APPROVED,,,,False,2026-05-14 17:36:41.229090+00:00
913,206,REF-20230522-2838,2838,full,CASH,76165.69,APPROVED,,,,False,2026-05-14 17:36:41.338588+00:00
914,174,REF-20230510-1686,1686,full,GCASH,74430.58,APPROVED,,,,False,2026-05-14 17:36:41.450505+00:00
915,199,REF-20230505-2586,2586,full,CASH,55853.60,APPROVED,,,,False,2026-05-14 17:36:41.559643+00:00
916,187,REF-20230505-2154,2154,full,GCASH,127574.70,APPROVED,,,,False,2026-05-14 17:36:41.668962+00:00
917,203,REF-20230520-2730,2730,full,GCASH,66664.25,APPROVED,,,,False,2026-05-14 17:36:41.777918+00:00
918,179,REF-20230510-1866,1866,full,CASH,126630.14,APPROVED,,,,False,2026-05-14 17:36:41.887123+00:00
919,173,REF-20230510-1650,1650,full,GCASH,141117.90,APPROVED,,,,False,2026-05-14 17:36:41.996797+00:00
920,207,REF-20230513-2874,2874,full,CASH,69666.38,APPROVED,,,,False,2026-05-14 17:36:42.105759+00:00
921,198,REF-20230510-2550,2550,full,GCASH,120568.70,APPROVED,,,,False,2026-05-14 17:36:42.214551+00:00
922,188,REF-20230505-2190,2190,full,CASH,75235.03,APPROVED,,,,False,2026-05-14 17:36:42.323637+00:00
923,211,REF-20230510-3018,3018,full,CASH,99238.86,APPROVED,,,,False,2026-05-14 17:36:42.431955+00:00
924,192,REF-20230516-2334,2334,full,GCASH,52785.04,APPROVED,,,,False,2026-05-14 17:36:42.541199+00:00
925,191,REF-20230515-2298,2298,full,GCASH,88430.77,APPROVED,,,,False,2026-05-14 17:36:42.650612+00:00
926,195,REF-20230515-2442,2442,full,GCASH,114731.03,APPROVED,,,,False,2026-05-14 17:36:42.759211+00:00
927,178,REF-20230505-1830,1830,full,GCASH,69661.21,APPROVED,,,,False,2026-05-14 17:36:42.868736+00:00
928,194,REF-20230510-2406,2406,full,GCASH,87598.14,APPROVED,,,,False,2026-05-14 17:36:42.978130+00:00
929,208,REF-20230525-2910,2910,full,CASH,103647.92,APPROVED,,,,False,2026-05-14 17:36:43.087654+00:00
930,197,REF-20230520-2514,2514,full,GCASH,73698.97,APPROVED,,,,False,2026-05-14 17:36:43.198779+00:00
931,183,REF-20230520-2010,2010,full,CASH,116957.93,APPROVED,,,,False,2026-05-14 17:36:43.307953+00:00
932,175,REF-20230515-1722,1722,full,CASH,76588.23,APPROVED,,,,False,2026-05-14 17:36:43.419907+00:00
933,177,REF-20230514-1794,1794,full,CASH,74149.32,APPROVED,,,,False,2026-05-14 17:36:43.528613+00:00
934,189,REF-20230601-2226,2226,full,GCASH,46494.00,APPROVED,,,,False,2026-05-14 17:36:43.638533+00:00
935,206,REF-20230615-2839,2839,full,CASH,76406.41,APPROVED,,,,False,2026-05-14 17:36:43.747928+00:00
936,209,REF-20230610-2947,2947,full,GCASH,63267.54,APPROVED,,,,False,2026-05-14 17:36:43.857037+00:00
937,176,REF-20230610-1759,1759,full,CASH,73744.38,APPROVED,,,,False,2026-05-14 17:36:43.965635+00:00
938,199,REF-20230605-2587,2587,full,CASH,57197.00,APPROVED,,,,False,2026-05-14 17:36:44.080254+00:00
939,196,REF-20230610-2479,2479,full,GCASH,51712.29,APPROVED,,,,False,2026-05-14 17:36:44.189529+00:00
940,175,REF-20230615-1723,1723,full,CASH,77859.57,APPROVED,,,,False,2026-05-14 17:36:44.299964+00:00
941,192,REF-20230610-2335,2335,full,GCASH,53731.24,APPROVED,,,,False,2026-05-14 17:36:44.408905+00:00
942,190,REF-20230605-2263,2263,full,CASH,109788.91,APPROVED,,,,False,2026-05-14 17:36:44.517739+00:00
943,173,REF-20230619-1651,1651,full,CASH,139338.15,APPROVED,,,,False,2026-05-14 17:36:44.628932+00:00
944,187,REF-20230605-2155,2155,full,CASH,126342.60,APPROVED,,,,False,2026-05-14 17:36:44.738878+00:00
945,210,REF-20230615-2983,2983,full,CASH,88315.32,APPROVED,,,,False,2026-05-14 17:36:44.848239+00:00
946,195,REF-20230615-2443,2443,full,CASH,113993.87,APPROVED,,,,False,2026-05-14 17:36:44.957655+00:00
947,179,REF-20230612-1867,1867,full,CASH,126663.59,APPROVED,,,,False,2026-05-14 17:36:45.066447+00:00
948,193,REF-20230610-2371,2371,full,CASH,104080.84,APPROVED,,,,False,2026-05-14 17:36:45.176027+00:00
949,201,REF-20230605-2659,2659,full,GCASH,140013.37,APPROVED,,,,False,2026-05-14 17:36:45.284584+00:00
950,182,REF-20230610-1975,1975,full,GCASH,88785.49,APPROVED,,,,False,2026-05-14 17:36:45.393268+00:00
951,178,REF-20230605-1831,1831,full,GCASH,70407.61,APPROVED,,,,False,2026-05-14 17:36:45.502092+00:00
952,177,REF-20230610-1795,1795,full,CASH,74467.02,APPROVED,,,,False,2026-05-14 17:36:45.612440+00:00
953,194,REF-20230618-2407,2407,full,CASH,87551.79,APPROVED,,,,False,2026-05-14 17:36:45.721878+00:00
954,204,REF-20230615-2767,2767,full,GCASH,61741.06,APPROVED,,,,False,2026-05-14 17:36:45.831385+00:00
955,207,REF-20230611-2875,2875,full,GCASH,69923.03,APPROVED,,,,False,2026-05-14 17:36:45.940992+00:00
956,185,REF-20230613-2083,2083,full,CASH,95899.15,APPROVED,,,,False,2026-05-14 17:36:46.050983+00:00
957,198,REF-20230610-2551,2551,full,GCASH,120243.05,APPROVED,,,,False,2026-05-14 17:36:46.160204+00:00
958,181,REF-20230605-1939,1939,full,GCASH,50808.63,APPROVED,,,,False,2026-05-14 17:36:46.269554+00:00
959,183,REF-20230615-2011,2011,full,CASH,117373.22,APPROVED,,,,False,2026-05-14 17:36:46.379379+00:00
960,200,REF-20230615-2623,2623,full,GCASH,82668.23,APPROVED,,,,False,2026-05-14 17:36:46.488964+00:00
961,189,REF-20230610-2227,2227,full,GCASH,47626.20,APPROVED,,,,False,2026-05-14 17:36:46.599591+00:00
962,205,REF-20230605-2803,2803,full,CASH,49165.20,APPROVED,,,,False,2026-05-14 17:36:46.710901+00:00
963,188,REF-20230605-2191,2191,full,GCASH,75803.68,APPROVED,,,,False,2026-05-14 17:36:46.821955+00:00
964,203,REF-20230615-2731,2731,full,CASH,67110.05,APPROVED,,,,False,2026-05-14 17:36:46.932607+00:00
965,186,REF-20230615-2119,2119,full,GCASH,107192.95,APPROVED,,,,False,2026-05-14 17:36:47.040777+00:00
966,180,REF-20230610-1903,1903,full,CASH,52353.54,APPROVED,,,,False,2026-05-14 17:36:47.149635+00:00
967,208,REF-20230615-2911,2911,full,CASH,103479.83,APPROVED,,,,False,2026-05-14 17:36:47.260711+00:00
968,197,REF-20230620-2515,2515,full,GCASH,74803.78,APPROVED,,,,False,2026-05-14 17:36:47.370380+00:00
969,202,REF-20230614-2695,2695,full,GCASH,91156.93,APPROVED,,,,False,2026-05-14 17:36:47.482562+00:00
970,211,REF-20230610-3019,3019,full,CASH,98802.81,APPROVED,,,,False,2026-05-14 17:36:47.591925+00:00
971,191,REF-20230615-2299,2299,full,CASH,88516.78,APPROVED,,,,False,2026-05-14 17:36:47.701490+00:00
972,174,REF-20230610-1687,1687,full,CASH,75032.08,APPROVED,,,,False,2026-05-14 17:36:47.810666+00:00
973,184,REF-20230615-2047,2047,full,GCASH,93884.47,APPROVED,,,,False,2026-05-14 17:36:47.919664+00:00
974,179,REF-20230710-1868,1868,full,CASH,123148.22,APPROVED,,,,False,2026-05-14 17:36:48.029047+00:00
975,202,REF-20230710-2696,2696,full,GCASH,90442.39,APPROVED,,,,False,2026-05-14 17:36:48.138984+00:00
976,183,REF-20230802-2012,2012,full,GCASH,113417.87,APPROVED,,,,False,2026-05-14 17:36:48.248674+00:00
977,194,REF-20230710-2408,2408,full,CASH,86078.67,APPROVED,,,,False,2026-05-14 17:36:48.357591+00:00
978,211,REF-20230710-3020,3020,full,CASH,97267.23,APPROVED,,,,False,2026-05-14 17:36:48.466590+00:00
979,174,REF-20230710-1688,1688,full,GCASH,73654.69,APPROVED,,,,False,2026-05-14 17:36:48.575346+00:00
980,173,REF-20230710-1652,1652,full,GCASH,135829.95,APPROVED,,,,False,2026-05-14 17:36:48.684455+00:00
981,191,REF-20230715-2300,2300,full,CASH,87648.58,APPROVED,,,,False,2026-05-14 17:36:48.793457+00:00
982,195,REF-20230715-2444,2444,full,GCASH,110655.92,APPROVED,,,,False,2026-05-14 17:36:48.902822+00:00
983,210,REF-20230715-2984,2984,full,CASH,86663.82,APPROVED,,,,False,2026-05-14 17:36:49.011595+00:00
984,175,REF-20230715-1724,1724,full,GCASH,75790.02,APPROVED,,,,False,2026-05-14 17:36:49.120577+00:00
985,190,REF-20230705-2264,2264,full,CASH,107393.35,APPROVED,,,,False,2026-05-14 17:36:49.229685+00:00
986,176,REF-20230731-1760,1760,full,CASH,71843.49,APPROVED,,,,False,2026-05-14 17:36:49.343870+00:00
987,196,REF-20230710-2480,2480,full,GCASH,50485.32,APPROVED,,,,False,2026-05-14 17:36:49.457001+00:00
988,209,REF-20230710-2948,2948,full,CASH,61555.92,APPROVED,,,,False,2026-05-14 17:36:49.568615+00:00
989,189,REF-20230710-2228,2228,full,CASH,46084.95,APPROVED,,,,False,2026-05-14 17:36:49.678187+00:00
990,192,REF-20230720-2336,2336,full,GCASH,52833.82,APPROVED,,,,False,2026-05-14 17:36:49.787461+00:00
991,177,REF-20230710-1796,1796,full,CASH,72433.11,APPROVED,,,,False,2026-05-14 17:36:49.899333+00:00
992,197,REF-20230717-2516,2516,full,CASH,72541.48,APPROVED,,,,False,2026-05-14 17:36:50.009710+00:00
993,208,REF-20230720-2912,2912,full,GCASH,100562.18,APPROVED,,,,False,2026-05-14 17:36:50.127525+00:00
994,188,REF-20230705-2192,2192,full,GCASH,73948.75,APPROVED,,,,False,2026-05-14 17:36:50.249946+00:00
995,178,REF-20230705-1832,1832,full,CASH,68837.35,APPROVED,,,,False,2026-05-14 17:36:50.358996+00:00
996,198,REF-20230710-2552,2552,full,CASH,117534.80,APPROVED,,,,False,2026-05-14 17:36:50.470878+00:00
997,207,REF-20230710-2876,2876,full,CASH,68359.49,APPROVED,,,,False,2026-05-14 17:36:50.580079+00:00
998,187,REF-20230705-2156,2156,full,CASH,123554.40,APPROVED,,,,False,2026-05-14 17:36:50.689444+00:00
999,199,REF-20230705-2588,2588,full,GCASH,55043.60,APPROVED,,,,False,2026-05-14 17:36:50.799378+00:00
1000,206,REF-20230715-2840,2840,full,CASH,73914.16,APPROVED,,,,False,2026-05-14 17:36:50.910536+00:00
1001,180,REF-20230710-1904,1904,full,CASH,50763.42,APPROVED,,,,False,2026-05-14 17:36:51.020759+00:00
1002,186,REF-20230715-2120,2120,full,CASH,104430.25,APPROVED,,,,False,2026-05-14 17:36:51.131648+00:00
1003,205,REF-20230705-2804,2804,full,CASH,47872.80,APPROVED,,,,False,2026-05-14 17:36:51.251037+00:00
1004,200,REF-20230715-2624,2624,full,CASH,80045.33,APPROVED,,,,False,2026-05-14 17:36:51.363339+00:00
1005,181,REF-20230705-1940,1940,full,GCASH,50124.90,APPROVED,,,,False,2026-05-14 17:36:51.475195+00:00
1006,193,REF-20230710-2372,2372,full,GCASH,102007.57,APPROVED,,,,False,2026-05-14 17:36:51.585090+00:00
1007,185,REF-20230710-2084,2084,full,GCASH,93301.90,APPROVED,,,,False,2026-05-14 17:36:51.695611+00:00
1008,204,REF-20230717-2768,2768,full,CASH,61492.96,APPROVED,,,,False,2026-05-14 17:36:51.804640+00:00
1009,201,REF-20230705-2660,2660,full,CASH,137077.90,APPROVED,,,,False,2026-05-14 17:36:51.915944+00:00
1010,182,REF-20230710-1976,1976,full,CASH,87222.97,APPROVED,,,,False,2026-05-14 17:36:52.027423+00:00
1011,184,REF-20230715-2048,2048,full,GCASH,92817.82,APPROVED,,,,False,2026-05-14 17:36:52.137156+00:00
1012,203,REF-20230810-2732,2732,full,GCASH,66637.70,APPROVED,,,,False,2026-05-14 17:36:52.248230+00:00
1013,198,REF-20230810-2553,2553,full,CASH,113726.75,APPROVED,,,,False,2026-05-14 17:36:52.358141+00:00
1014,190,REF-20230805-2265,2265,full,CASH,104234.65,APPROVED,,,,False,2026-05-14 17:36:52.470967+00:00
1015,199,REF-20230805-2589,2589,full,GCASH,53598.80,APPROVED,,,,False,2026-05-14 17:36:52.584733+00:00
1016,207,REF-20230815-2877,2877,full,GCASH,66943.10,APPROVED,,,,False,2026-05-14 17:36:52.694596+00:00
1017,211,REF-20230810-3021,3021,full,CASH,95095.80,APPROVED,,,,False,2026-05-14 17:36:52.807645+00:00
1018,174,REF-20230810-1689,1689,full,GCASH,71961.40,APPROVED,,,,False,2026-05-14 17:36:52.918790+00:00
1019,206,REF-20230815-2841,2841,full,GCASH,73462.33,APPROVED,,,,False,2026-05-14 17:36:53.028101+00:00
1020,187,REF-20230805-2157,2157,full,CASH,120701.85,APPROVED,,,,False,2026-05-14 17:36:53.143342+00:00
1021,179,REF-20230814-1869,1869,full,CASH,121223.60,APPROVED,,,,False,2026-05-14 17:36:53.252757+00:00
1022,189,REF-20230810-2229,2229,full,CASH,45059.40,APPROVED,,,,False,2026-05-14 17:36:53.366511+00:00
1023,182,REF-20230810-1977,1977,full,CASH,84126.40,APPROVED,,,,False,2026-05-14 17:36:53.475909+00:00
1024,196,REF-20230810-2481,2481,full,CASH,50089.95,APPROVED,,,,False,2026-05-14 17:36:53.586260+00:00
1025,173,REF-20230810-1653,1653,full,CASH,134246.85,APPROVED,,,,False,2026-05-14 17:36:53.696061+00:00
1026,175,REF-20230815-1725,1725,full,GCASH,73680.96,APPROVED,,,,False,2026-05-14 17:36:53.805368+00:00
1027,210,REF-20230815-2985,2985,full,GCASH,83573.76,APPROVED,,,,False,2026-05-14 17:36:53.914460+00:00
1028,192,REF-20230810-2337,2337,full,CASH,51552.10,APPROVED,,,,False,2026-05-14 17:36:54.023284+00:00
1029,177,REF-20230810-1797,1797,full,GCASH,71423.85,APPROVED,,,,False,2026-05-14 17:36:54.132688+00:00
1030,176,REF-20230810-1761,1761,full,CASH,69626.70,APPROVED,,,,False,2026-05-14 17:36:54.241370+00:00
1031,201,REF-20230806-2661,2661,full,GCASH,132920.65,APPROVED,,,,False,2026-05-14 17:36:54.350485+00:00
1032,204,REF-20230815-2769,2769,full,GCASH,59736.13,APPROVED,,,,False,2026-05-14 17:36:54.460863+00:00
1033,183,REF-20230815-2013,2013,full,GCASH,111189.86,APPROVED,,,,False,2026-05-14 17:36:54.570681+00:00
1034,185,REF-20230810-2085,2085,full,CASH,91138.45,APPROVED,,,,False,2026-05-14 17:36:54.680824+00:00
1035,197,REF-20230815-2517,2517,full,CASH,70817.14,APPROVED,,,,False,2026-05-14 17:36:54.790083+00:00
1036,209,REF-20230813-2949,2949,full,CASH,61114.65,APPROVED,,,,False,2026-05-14 17:36:54.900865+00:00
1037,208,REF-20230815-2913,2913,full,GCASH,98410.94,APPROVED,,,,False,2026-05-14 17:36:55.010095+00:00
1038,181,REF-20230805-1941,1941,full,GCASH,48522.00,APPROVED,,,,False,2026-05-14 17:36:55.123584+00:00
1039,194,REF-20230918-2409,2409,full,GCASH,83899.95,APPROVED,,,,False,2026-05-14 17:36:55.235677+00:00
1040,193,REF-20230810-2373,2373,full,GCASH,99633.70,APPROVED,,,,False,2026-05-14 17:36:55.363892+00:00
1041,200,REF-20230815-2625,2625,full,GCASH,78727.49,APPROVED,,,,False,2026-05-14 17:36:55.477740+00:00
1042,202,REF-20230810-2697,2697,full,GCASH,87060.70,APPROVED,,,,False,2026-05-14 17:36:55.588506+00:00
1043,203,REF-20230815-2733,2733,full,GCASH,64711.55,APPROVED,,,,False,2026-05-14 17:36:55.700086+00:00
1044,188,REF-20230805-2193,2193,full,GCASH,72057.70,APPROVED,,,,False,2026-05-14 17:36:55.831489+00:00
1045,184,REF-20230815-2049,2049,full,GCASH,89800.81,APPROVED,,,,False,2026-05-14 17:36:55.945253+00:00
1046,205,REF-20230805-2805,2805,full,GCASH,45945.90,APPROVED,,,,False,2026-05-14 17:36:56.067023+00:00
1047,186,REF-20230815-2121,2121,full,CASH,102415.30,APPROVED,,,,False,2026-05-14 17:36:56.180962+00:00
1048,195,REF-20230817-2445,2445,full,GCASH,108745.61,APPROVED,,,,False,2026-05-14 17:36:56.292852+00:00
1049,178,REF-20230808-1833,1833,full,CASH,66456.70,APPROVED,,,,False,2026-05-14 17:36:56.402664+00:00
1050,180,REF-20230814-1905,1905,full,CASH,51040.80,APPROVED,,,,False,2026-05-14 17:36:56.515106+00:00
1051,191,REF-20230815-2301,2301,full,CASH,84819.94,APPROVED,,,,False,2026-05-14 17:36:56.624262+00:00
1052,184,REF-20230915-2050,2050,full,GCASH,87405.70,APPROVED,,,,False,2026-05-14 17:36:56.735794+00:00
1053,198,REF-20231025-2554,2554,full,GCASH,111561.95,APPROVED,,,,False,2026-05-14 17:36:56.846182+00:00
1054,199,REF-20230909-2590,2590,full,CASH,53220.20,APPROVED,,,,False,2026-05-14 17:36:56.955174+00:00
1055,197,REF-20230920-2518,2518,full,CASH,69786.70,APPROVED,,,,False,2026-05-14 17:36:57.064828+00:00
1056,207,REF-20230910-2878,2878,full,GCASH,65714.30,APPROVED,,,,False,2026-05-14 17:36:57.175212+00:00
1057,209,REF-20230910-2950,2950,full,CASH,58785.00,APPROVED,,,,False,2026-05-14 17:36:57.284836+00:00
1058,185,REF-20230913-2086,2086,full,GCASH,88517.05,APPROVED,,,,False,2026-05-14 17:36:57.394929+00:00
1059,181,REF-20230906-1942,1942,full,CASH,46790.22,APPROVED,,,,False,2026-05-14 17:36:57.504773+00:00
1060,173,REF-20230910-1654,1654,full,CASH,129390.90,APPROVED,,,,False,2026-05-14 17:36:57.613795+00:00
1061,206,REF-20230915-2842,2842,full,CASH,70797.40,APPROVED,,,,False,2026-05-14 17:36:57.723585+00:00
1062,174,REF-20230910-1690,1690,full,GCASH,70253.50,APPROVED,,,,False,2026-05-14 17:36:57.833413+00:00
1063,195,REF-20230915-2446,2446,full,CASH,105833.60,APPROVED,,,,False,2026-05-14 17:36:57.942436+00:00
1064,187,REF-20230905-2158,2158,full,GCASH,117420.90,APPROVED,,,,False,2026-05-14 17:36:58.052342+00:00
1065,179,REF-20230910-1870,1870,full,CASH,116879.45,APPROVED,,,,False,2026-05-14 17:36:58.161802+00:00
1066,191,REF-20230915-2302,2302,full,GCASH,82980.40,APPROVED,,,,False,2026-05-14 17:36:58.271794+00:00
1067,196,REF-20230910-2482,2482,full,GCASH,48355.20,APPROVED,,,,False,2026-05-14 17:36:58.382484+00:00
1068,189,REF-20230910-2230,2230,full,CASH,44305.65,APPROVED,,,,False,2026-05-14 17:36:58.493584+00:00
