id,lease_id,billing_month,due_date,base_rent,water_amount,interest,total_due,status,rent_paid,water_paid,rent_paid_at,water_paid_at,paid_at,payment_reference,water_computed_from_system,source_water_reading_id
1793,148,2026-04-01,2026-04-10,12762.00,2056.05,2297.16,17115.21,UNPAID,0.00,0.00,,,,,True,1325
2837,177,2026-04-01,2026-04-05,8325.00,2028.15,1498.50,11851.65,UNPAID,0.00,0.00,,,,,True,2369
2873,178,2026-04-01,2026-04-15,13339.00,1955.70,2000.85,17295.55,UNPAID,0.00,0.00,,,,,True,2405
2909,179,2026-04-01,2026-04-10,12137.00,3186.00,2184.66,17507.66,UNPAID,0.00,0.00,,,,,True,2441
3017,182,2026-04-01,2026-04-15,15393.00,2205.45,2308.95,19907.40,UNPAID,0.00,0.00,,,,,True,2549
3053,183,2026-04-01,2026-04-10,17289.00,2641.95,3112.02,23042.97,UNPAID,0.00,0.00,,,,,True,2585
2585,170,2026-04-01,2026-04-10,21005.00,2348.55,0.00,23353.55,PAID,21005.00,2348.55,,,2026-04-10 00:00:00+00:00,REF-20260410-2585,True,2117
2297,162,2026-04-01,2026-04-05,19048.00,3140.55,0.00,22188.55,PAID,19048.00,3140.55,,,2026-04-05 00:00:00+00:00,REF-20260405-2297,True,1829
1685,145,2026-04-01,2026-04-10,24585.00,2084.85,0.00,26669.85,PAID,24585.00,2084.85,,,2026-04-15 00:00:00+00:00,REF-20260415-1685,True,1217
2621,171,2026-04-01,2026-04-05,9680.00,2466.90,0.00,12146.90,PAID,9680.00,2466.90,,,2026-04-08 00:00:00+00:00,REF-20260408-2621,True,2153
2189,159,2026-04-01,2026-04-05,22110.00,2227.95,0.00,24337.95,PAID,22110.00,2227.95,,,2026-04-05 00:00:00+00:00,REF-20260405-2189,True,1721
2729,174,2026-04-01,2026-04-10,15982.00,2380.50,0.00,18362.50,PAID,15982.00,2380.50,,,2026-04-10 00:00:00+00:00,REF-20260410-2729,True,2261
2117,157,2026-04-01,2026-04-10,16615.00,1493.10,0.00,18108.10,PAID,16615.00,1493.10,,,2026-04-10 00:00:00+00:00,REF-20260410-2117,True,1649
2477,167,2026-04-01,2026-04-15,20093.00,2927.70,0.00,23020.70,PAID,20093.00,2927.70,,,2026-05-08 00:00:00+00:00,REF-20260508-2477,True,2009
1757,147,2026-04-01,2026-04-15,13413.00,2383.20,0.00,15796.20,PAID,13413.00,2383.20,,,2026-04-15 00:00:00+00:00,REF-20260415-1757,True,1289
2333,163,2026-04-01,2026-04-15,15487.00,2764.35,0.00,18251.35,PAID,15487.00,2764.35,,,2026-04-15 00:00:00+00:00,REF-20260415-2333,True,1865
2765,175,2026-04-01,2026-04-15,11675.00,2210.85,0.00,13885.85,PAID,11675.00,2210.85,,,2026-06-05 00:00:00+00:00,REF-20260605-2765,True,2297
2945,180,2026-04-01,2026-04-15,18152.00,2096.10,0.00,20248.10,PAID,18152.00,2096.10,,,2026-04-20 00:00:00+00:00,REF-20260420-2945,True,2477
2657,172,2026-04-01,2026-04-15,14372.00,1521.00,0.00,15893.00,PAID,14372.00,1521.00,,,2026-04-15 00:00:00+00:00,REF-20260415-2657,True,2189
1865,150,2026-04-01,2026-04-05,12073.00,2042.55,0.00,14115.55,PAID,12073.00,2042.55,,,2026-04-05 00:00:00+00:00,REF-20260405-1865,True,1397
2405,165,2026-04-01,2026-04-10,18241.00,2400.75,3283.38,23925.13,UNPAID,0.00,0.00,,,,,True,1937
2225,160,2026-04-01,2026-04-05,13039.00,2154.60,2347.02,17540.62,UNPAID,0.00,0.00,,,,,True,1757
2153,158,2026-04-01,2026-04-15,18790.00,2112.75,2818.50,23721.25,UNPAID,0.00,0.00,,,,,True,1685
2009,154,2026-04-01,2026-04-10,15421.00,1895.40,2775.78,20092.18,UNPAID,0.00,0.00,,,,,True,1541
1973,153,2026-04-01,2026-04-05,8589.00,2209.05,1546.02,12344.07,UNPAID,0.00,0.00,,,,,True,1505
1937,152,2026-04-01,2026-04-10,8991.00,1507.05,1618.38,12116.43,UNPAID,0.00,0.00,,,,,True,1469
1901,151,2026-04-01,2026-04-10,22061.00,2468.70,3970.98,28500.68,UNPAID,0.00,0.00,,,,,True,1433
1829,149,2026-04-01,2026-04-10,12918.00,3006.90,0.00,15924.90,PAID,12918.00,3006.90,,,2026-04-10 00:00:00+00:00,REF-20260410-1829,True,1361
2801,176,2026-04-01,2026-04-15,10789.00,2528.55,0.00,13317.55,PAID,10789.00,2528.55,,,2026-04-15 00:00:00+00:00,REF-20260415-2801,True,2333
2513,168,2026-04-01,2026-04-10,8811.00,3122.10,0.00,11933.10,PAID,8811.00,3122.10,,,2026-04-10 00:00:00+00:00,REF-20260410-2513,True,2045
2045,155,2026-04-01,2026-04-15,20483.00,3620.70,0.00,24103.70,PAID,20483.00,3620.70,,,2026-04-15 00:00:00+00:00,REF-20260415-2045,True,1577
2261,161,2026-04-01,2026-04-10,8100.00,2812.50,0.00,10912.50,PAID,8100.00,2812.50,,,2026-04-10 00:00:00+00:00,REF-20260410-2261,True,1793
2441,166,2026-04-01,2026-04-10,15261.00,2649.60,0.00,17910.60,PAID,15261.00,2649.60,,,2026-05-06 00:00:00+00:00,REF-20260506-2441,True,1973
1721,146,2026-04-01,2026-04-10,12967.00,2188.80,0.00,15155.80,PAID,12967.00,2188.80,,,2026-04-10 00:00:00+00:00,REF-20260410-1721,True,1253
2369,164,2026-04-01,2026-04-10,9196.00,1663.65,0.00,10859.65,PAID,9196.00,1663.65,,,2026-04-23 00:00:00+00:00,REF-20260423-2369,True,1901
2981,181,2026-04-01,2026-04-10,10986.00,1350.00,0.00,12336.00,PAID,10986.00,1350.00,,,2026-04-10 00:00:00+00:00,REF-20260410-2981,True,2513
2549,169,2026-04-01,2026-04-15,12907.00,2763.45,0.00,15670.45,PAID,12907.00,2763.45,,,2026-04-15 00:00:00+00:00,REF-20260415-2549,True,2081
2081,156,2026-04-01,2026-04-15,16423.00,2519.10,0.00,18942.10,PAID,16423.00,2519.10,,,2026-04-21 00:00:00+00:00,REF-20260421-2081,True,1613
2693,173,2026-04-01,2026-04-05,24361.00,1457.55,0.00,25818.55,PAID,24361.00,1457.55,,,2026-04-05 00:00:00+00:00,REF-20260405-2693,True,2225
2908,179,2026-03-01,2026-03-10,12137.00,2899.35,0.00,15036.35,PAID,12137.00,2899.35,,,2026-03-10 00:00:00+00:00,REF-20260310-2908,True,2440
2584,170,2026-03-01,2026-03-10,21005.00,2176.65,6301.50,29483.15,UNPAID,0.00,0.00,,,,,True,2116
2728,174,2026-03-01,2026-03-10,15982.00,1739.70,4794.60,22516.30,UNPAID,0.00,0.00,,,,,True,2260
2188,159,2026-03-01,2026-03-05,22110.00,1430.55,0.00,23540.55,PAID,22110.00,1430.55,,,2026-03-05 00:00:00+00:00,REF-20260305-2188,True,1720
2836,177,2026-03-01,2026-03-05,8325.00,1749.60,0.00,10074.60,PAID,8325.00,1749.60,,,2026-03-05 00:00:00+00:00,REF-20260305-2836,True,2368
1792,148,2026-03-01,2026-03-10,12762.00,2060.55,0.00,14822.55,PAID,12762.00,2060.55,,,2026-03-10 00:00:00+00:00,REF-20260310-1792,True,1324
2080,156,2026-03-01,2026-03-15,16423.00,2084.85,0.00,18507.85,PAID,16423.00,2084.85,,,2026-03-18 00:00:00+00:00,REF-20260318-2080,True,1612
3052,183,2026-03-01,2026-03-10,17289.00,2238.75,5186.70,24714.45,UNPAID,0.00,0.00,,,,,True,2584
2656,172,2026-03-01,2026-03-15,14372.00,1912.50,0.00,16284.50,PAID,14372.00,1912.50,,,2026-03-25 00:00:00+00:00,REF-20260325-2656,True,2188
2512,168,2026-03-01,2026-03-10,8811.00,2386.35,0.00,11197.35,PAID,8811.00,2386.35,,,2026-03-10 00:00:00+00:00,REF-20260310-2512,True,2044
2620,171,2026-03-01,2026-03-05,9680.00,2463.30,0.00,12143.30,PAID,9680.00,2463.30,,,2026-03-05 00:00:00+00:00,REF-20260305-2620,True,2152
1720,146,2026-03-01,2026-03-10,12967.00,2708.55,0.00,15675.55,PAID,12967.00,2708.55,,,2026-03-10 00:00:00+00:00,REF-20260310-1720,True,1252
2980,181,2026-03-01,2026-03-10,10986.00,1784.25,0.00,12770.25,PAID,10986.00,1784.25,,,2026-03-12 00:00:00+00:00,REF-20260312-2980,True,2512
2260,161,2026-03-01,2026-03-10,8100.00,1548.90,0.00,9648.90,PAID,8100.00,1548.90,,,2026-03-13 00:00:00+00:00,REF-20260313-2260,True,1792
1864,150,2026-03-01,2026-03-05,12073.00,1950.75,0.00,14023.75,PAID,12073.00,1950.75,,,2026-03-05 00:00:00+00:00,REF-20260305-1864,True,1396
2872,178,2026-03-01,2026-03-15,13339.00,2546.10,0.00,15885.10,PAID,13339.00,2546.10,,,2026-03-15 00:00:00+00:00,REF-20260315-2872,True,2404
2404,165,2026-03-01,2026-03-10,18241.00,1575.00,0.00,19816.00,PAID,18241.00,1575.00,,,2026-03-10 00:00:00+00:00,REF-20260310-2404,True,1936
2440,166,2026-03-01,2026-03-10,15261.00,1798.20,0.00,17059.20,PAID,15261.00,1798.20,,,2026-03-10 00:00:00+00:00,REF-20260310-2440,True,1972
2548,169,2026-03-01,2026-03-15,12907.00,2521.80,3484.89,18913.69,UNPAID,0.00,0.00,,,,,True,2080
