id,number,unit_type,monthly_rent,status,is_active,size_sqm,floor_level,description,amenities
234,101,1BR,14674.00,AVAILABLE,True,36.00,1,,
235,102,1BR,15176.00,AVAILABLE,True,32.00,1,,
236,103,Studio,11728.00,AVAILABLE,True,23.00,1,,
237,104,1BR,15597.00,AVAILABLE,True,41.00,1,,
238,105,1BR,14048.00,AVAILABLE,True,33.00,1,,
239,106,Studio,11666.00,AVAILABLE,True,26.00,1,,
240,107,Studio,8172.00,AVAILABLE,True,22.00,1,,
241,108,2BR,19044.00,AVAILABLE,True,52.00,1,,
242,109,2BR,24073.00,AVAILABLE,True,55.00,1,,
243,110,Studio,8706.00,AVAILABLE,True,28.00,1,,
195,201,2BR,24585.00,OCCUPIED,True,48.00,2,,
196,202,1BR,12967.00,OCCUPIED,True,34.00,2,,
197,203,1BR,13413.00,OCCUPIED,True,37.00,2,,
198,204,1BR,12762.00,OCCUPIED,True,38.00,2,,
199,205,1BR,12918.00,OCCUPIED,True,38.00,2,,
200,206,1BR,12073.00,OCCUPIED,True,40.00,2,,
201,207,2BR,22061.00,OCCUPIED,True,63.00,2,,
202,208,Studio,8991.00,OCCUPIED,True,29.00,2,,
203,209,Studio,8589.00,OCCUPIED,True,23.00,2,,
204,210,1BR,15421.00,OCCUPIED,True,42.00,2,,
205,301,2BR,20483.00,OCCUPIED,True,49.00,3,,
206,302,1BR,16423.00,OCCUPIED,True,44.00,3,,
207,303,1BR,16615.00,OCCUPIED,True,31.00,3,,
208,304,2BR,18790.00,OCCUPIED,True,62.00,3,,
209,305,2BR,22110.00,OCCUPIED,True,54.00,3,,
210,306,1BR,13039.00,OCCUPIED,True,40.00,3,,
211,307,Studio,8100.00,OCCUPIED,True,22.00,3,,
212,308,2BR,19048.00,OCCUPIED,True,52.00,3,,
213,309,1BR,15487.00,OCCUPIED,True,40.00,3,,
214,310,Studio,9196.00,OCCUPIED,True,26.00,3,,
215,401,2BR,18241.00,OCCUPIED,True,58.00,4,,
216,402,1BR,15261.00,OCCUPIED,True,32.00,4,,
217,403,2BR,20093.00,OCCUPIED,True,49.00,4,,
218,404,Studio,8811.00,OCCUPIED,True,25.00,4,,
219,405,1BR,12907.00,OCCUPIED,True,41.00,4,,
220,406,2BR,21005.00,OCCUPIED,True,65.00,4,,
221,407,Studio,9680.00,OCCUPIED,True,23.00,4,,
222,408,1BR,14372.00,OCCUPIED,True,34.00,4,,
223,409,2BR,24361.00,OCCUPIED,True,57.00,4,,
224,410,1BR,15982.00,OCCUPIED,True,40.00,4,,
225,501,Studio,11675.00,OCCUPIED,True,30.00,5,,
226,502,Studio,10789.00,OCCUPIED,True,23.00,5,,
227,503,Studio,8325.00,OCCUPIED,True,30.00,5,,
228,504,1BR,13339.00,OCCUPIED,True,33.00,5,,
229,505,1BR,12137.00,OCCUPIED,True,38.00,5,,
230,506,2BR,18152.00,OCCUPIED,True,64.00,5,,
231,507,Studio,10986.00,OCCUPIED,True,23.00,5,,
232,508,1BR,15393.00,OCCUPIED,True,31.00,5,,
233,509,1BR,17289.00,OCCUPIED,True,43.00,5,,
244,510,1BR,14173.00,AVAILABLE,True,37.00,5,,
245,601,Studio,9637.00,AVAILABLE,True,30.00,6,,
246,602,1BR,16632.00,AVAILABLE,True,43.00,6,,
247,603,Studio,9974.00,AVAILABLE,True,26.00,6,,
248,604,Studio,10125.00,AVAILABLE,True,22.00,6,,
249,605,1BR,14060.00,AVAILABLE,True,38.00,6,,
250,606,Studio,8272.00,AVAILABLE,True,30.00,6,,
251,607,Studio,11658.00,AVAILABLE,True,23.00,6,,
252,608,Studio,10476.00,AVAILABLE,True,27.00,6,,
