id,lease_id,reading_month,previous_reading,current_reading,consumption,rate_used,computed_amount,is_first_reading,read_by_id
2585,183,2026-04-01,1764.28,1822.99,58.71,45.00,2641.95,False,5
2549,182,2026-04-01,1900.54,1949.55,49.01,45.00,2205.45,False,5
2513,181,2026-04-01,1810.72,1840.72,30.00,45.00,1350.00,False,5
2477,180,2026-04-01,1663.92,1710.50,46.58,45.00,2096.10,False,5
2441,179,2026-04-01,1599.97,1670.77,70.80,45.00,3186.00,False,5
2405,178,2026-04-01,1733.18,1776.64,43.46,45.00,1955.70,False,5
2369,177,2026-04-01,1635.47,1680.54,45.07,45.00,2028.15,False,5
2333,176,2026-04-01,1786.19,1842.38,56.19,45.00,2528.55,False,5
2297,175,2026-04-01,1792.43,1841.56,49.13,45.00,2210.85,False,5
2261,174,2026-04-01,1798.11,1851.01,52.90,45.00,2380.50,False,5
2225,173,2026-04-01,1776.45,1808.84,32.39,45.00,1457.55,False,5
2189,172,2026-04-01,1706.68,1740.48,33.80,45.00,1521.00,False,5
2153,171,2026-04-01,1783.27,1838.09,54.82,45.00,2466.90,False,5
2117,170,2026-04-01,1700.09,1752.28,52.19,45.00,2348.55,False,5
2081,169,2026-04-01,1930.86,1992.27,61.41,45.00,2763.45,False,5
2045,168,2026-04-01,1858.21,1927.59,69.38,45.00,3122.10,False,5
2009,167,2026-04-01,1679.11,1744.17,65.06,45.00,2927.70,False,5
1973,166,2026-04-01,1786.90,1845.78,58.88,45.00,2649.60,False,5
1937,165,2026-04-01,1758.78,1812.13,53.35,45.00,2400.75,False,5
1901,164,2026-04-01,1928.26,1965.23,36.97,45.00,1663.65,False,5
1865,163,2026-04-01,1871.83,1933.26,61.43,45.00,2764.35,False,5
1829,162,2026-04-01,1883.57,1953.36,69.79,45.00,3140.55,False,5
1793,161,2026-04-01,1784.63,1847.13,62.50,45.00,2812.50,False,5
1757,160,2026-04-01,1734.09,1781.97,47.88,45.00,2154.60,False,5
1721,159,2026-04-01,1679.13,1728.64,49.51,45.00,2227.95,False,5
1685,158,2026-04-01,1685.61,1732.56,46.95,45.00,2112.75,False,5
1649,157,2026-04-01,1867.09,1900.27,33.18,45.00,1493.10,False,5
1613,156,2026-04-01,1832.05,1888.03,55.98,45.00,2519.10,False,5
1577,155,2026-04-01,1763.85,1844.31,80.46,45.00,3620.70,False,5
1541,154,2026-04-01,1777.93,1820.05,42.12,45.00,1895.40,False,5
1505,153,2026-04-01,1819.40,1868.49,49.09,45.00,2209.05,False,5
1469,152,2026-04-01,1654.21,1687.70,33.49,45.00,1507.05,False,5
1433,151,2026-04-01,1756.66,1811.52,54.86,45.00,2468.70,False,5
1397,150,2026-04-01,1743.28,1788.67,45.39,45.00,2042.55,False,5
1361,149,2026-04-01,1617.54,1684.36,66.82,45.00,3006.90,False,5
1325,148,2026-04-01,1749.64,1795.33,45.69,45.00,2056.05,False,5
1289,147,2026-04-01,1705.24,1758.20,52.96,45.00,2383.20,False,5
1253,146,2026-04-01,1812.43,1861.07,48.64,45.00,2188.80,False,5
1217,145,2026-04-01,1792.73,1839.06,46.33,45.00,2084.85,False,5
2584,183,2026-03-01,1714.53,1764.28,49.75,45.00,2238.75,False,5
2548,182,2026-03-01,1833.47,1900.54,67.07,45.00,3018.15,False,5
2512,181,2026-03-01,1771.07,1810.72,39.65,45.00,1784.25,False,5
2476,180,2026-03-01,1587.76,1663.92,76.16,45.00,3427.20,False,5
2440,179,2026-03-01,1535.54,1599.97,64.43,45.00,2899.35,False,5
2404,178,2026-03-01,1676.60,1733.18,56.58,45.00,2546.10,False,5
2368,177,2026-03-01,1596.59,1635.47,38.88,45.00,1749.60,False,5
2332,176,2026-03-01,1724.19,1786.19,62.00,45.00,2790.00,False,5
2296,175,2026-03-01,1734.91,1792.43,57.52,45.00,2588.40,False,5
2260,174,2026-03-01,1759.45,1798.11,38.66,45.00,1739.70,False,5
2224,173,2026-03-01,1735.02,1776.45,41.43,45.00,1864.35,False,5
2188,172,2026-03-01,1664.18,1706.68,42.50,45.00,1912.50,False,5
2152,171,2026-03-01,1728.53,1783.27,54.74,45.00,2463.30,False,5
2116,170,2026-03-01,1651.72,1700.09,48.37,45.00,2176.65,False,5
2080,169,2026-03-01,1874.82,1930.86,56.04,45.00,2521.80,False,5
2044,168,2026-03-01,1805.18,1858.21,53.03,45.00,2386.35,False,5
2008,167,2026-03-01,1633.79,1679.11,45.32,45.00,2039.40,False,5
1972,166,2026-03-01,1746.94,1786.90,39.96,45.00,1798.20,False,5
1936,165,2026-03-01,1723.78,1758.78,35.00,45.00,1575.00,False,5
1900,164,2026-03-01,1876.10,1928.26,52.16,45.00,2347.20,False,5
1864,163,2026-03-01,1808.80,1871.83,63.03,45.00,2836.35,False,5
1828,162,2026-03-01,1845.34,1883.57,38.23,45.00,1720.35,False,5
1792,161,2026-03-01,1750.21,1784.63,34.42,45.00,1548.90,False,5
1756,160,2026-03-01,1694.61,1734.09,39.48,45.00,1776.60,False,5
1720,159,2026-03-01,1647.34,1679.13,31.79,45.00,1430.55,False,5
1684,158,2026-03-01,1653.31,1685.61,32.30,45.00,1453.50,False,5
1648,157,2026-03-01,1791.12,1867.09,75.97,45.00,3418.65,False,5
1612,156,2026-03-01,1785.72,1832.05,46.33,45.00,2084.85,False,5
1576,155,2026-03-01,1697.10,1763.85,66.75,45.00,3003.75,False,5
1540,154,2026-03-01,1735.36,1777.93,42.57,45.00,1915.65,False,5
1504,153,2026-03-01,1746.44,1819.40,72.96,45.00,3283.20,False,5
1468,152,2026-03-01,1595.32,1654.21,58.89,45.00,2650.05,False,5
1432,151,2026-03-01,1726.66,1756.66,30.00,45.00,1350.00,False,5
1396,150,2026-03-01,1699.93,1743.28,43.35,45.00,1950.75,False,5
1360,149,2026-03-01,1558.38,1617.54,59.16,45.00,2662.20,False,5
1324,148,2026-03-01,1703.85,1749.64,45.79,45.00,2060.55,False,5
1288,147,2026-03-01,1675.24,1705.24,30.00,45.00,1350.00,False,5
1252,146,2026-03-01,1752.24,1812.43,60.19,45.00,2708.55,False,5
1216,145,2026-03-01,1751.34,1792.73,41.39,45.00,1862.55,False,5
2583,183,2026-02-01,1660.33,1714.53,54.20,45.00,2439.00,False,5
2547,182,2026-02-01,1789.94,1833.47,43.53,45.00,1958.85,False,5
2511,181,2026-02-01,1725.08,1771.07,45.99,45.00,2069.55,False,5
2475,180,2026-02-01,1543.12,1587.76,44.64,45.00,2008.80,False,5
2439,179,2026-02-01,1500.39,1535.54,35.15,45.00,1581.75,False,5
2403,178,2026-02-01,1635.28,1676.60,41.32,45.00,1859.40,False,5
2367,177,2026-02-01,1554.25,1596.59,42.34,45.00,1905.30,False,5
2331,176,2026-02-01,1671.47,1724.19,52.72,45.00,2372.40,False,5
2295,175,2026-02-01,1675.77,1734.91,59.14,45.00,2661.30,False,5
2259,174,2026-02-01,1681.64,1759.45,77.81,45.00,3501.45,False,5
2223,173,2026-02-01,1705.02,1735.02,30.00,45.00,1350.00,False,5
2187,172,2026-02-01,1624.97,1664.18,39.21,45.00,1764.45,False,5
2151,171,2026-02-01,1685.38,1728.53,43.15,45.00,1941.75,False,5
2115,170,2026-02-01,1597.49,1651.72,54.23,45.00,2440.35,False,5
2079,169,2026-02-01,1806.37,1874.82,68.45,45.00,3080.25,False,5
2043,168,2026-02-01,1758.57,1805.18,46.61,45.00,2097.45,False,5
2007,167,2026-02-01,1588.33,1633.79,45.46,45.00,2045.70,False,5
1971,166,2026-02-01,1689.01,1746.94,57.93,45.00,2606.85,False,5
1935,165,2026-02-01,1682.27,1723.78,41.51,45.00,1867.95,False,5
1899,164,2026-02-01,1821.87,1876.10,54.23,45.00,2440.35,False,5
1863,163,2026-02-01,1753.34,1808.80,55.46,45.00,2495.70,False,5
1827,162,2026-02-01,1801.16,1845.34,44.18,45.00,1988.10,False,5
1791,161,2026-02-01,1700.29,1750.21,49.92,45.00,2246.40,False,5
1755,160,2026-02-01,1643.54,1694.61,51.07,45.00,2298.15,False,5
1719,159,2026-02-01,1587.87,1647.34,59.47,45.00,2676.15,False,5
1683,158,2026-02-01,1611.37,1653.31,41.94,45.00,1887.30,False,5
1647,157,2026-02-01,1742.41,1791.12,48.71,45.00,2191.95,False,5
1611,156,2026-02-01,1739.51,1785.72,46.21,45.00,2079.45,False,5
1575,155,2026-02-01,1635.48,1697.10,61.62,45.00,2772.90,False,5
1539,154,2026-02-01,1679.95,1735.36,55.41,45.00,2493.45,False,5
1503,153,2026-02-01,1692.20,1746.44,54.24,45.00,2440.80,False,5
1467,152,2026-02-01,1547.26,1595.32,48.06,45.00,2162.70,False,5
1431,151,2026-02-01,1692.03,1726.66,34.63,45.00,1558.35,False,5
1395,150,2026-02-01,1656.35,1699.93,43.58,45.00,1961.10,False,5
1359,149,2026-02-01,1528.38,1558.38,30.00,45.00,1350.00,False,5
1323,148,2026-02-01,1656.46,1703.85,47.39,45.00,2132.55,False,5
1287,147,2026-02-01,1615.22,1675.24,60.02,45.00,2700.90,False,5
1251,146,2026-02-01,1685.27,1752.24,66.97,45.00,3013.65,False,5
1215,145,2026-02-01,1694.79,1751.34,56.55,45.00,2544.75,False,5
2582,183,2026-01-01,1610.07,1660.33,50.26,45.00,2261.70,False,5
2546,182,2026-01-01,1754.84,1789.94,35.10,45.00,1579.50,False,5
2510,181,2026-01-01,1653.49,1725.08,71.59,45.00,3221.55,False,5
2474,180,2026-01-01,1506.23,1543.12,36.89,45.00,1660.05,False,5
2438,179,2026-01-01,1469.48,1500.39,30.91,45.00,1390.95,False,5
2402,178,2026-01-01,1581.67,1635.28,53.61,45.00,2412.45,False,5
2366,177,2026-01-01,1513.79,1554.25,40.46,45.00,1820.70,False,5
2330,176,2026-01-01,1598.74,1671.47,72.73,45.00,3272.85,False,5
2294,175,2026-01-01,1628.36,1675.77,47.41,45.00,2133.45,False,5
2258,174,2026-01-01,1649.61,1681.64,32.03,45.00,1441.35,False,5
2222,173,2026-01-01,1660.59,1705.02,44.43,45.00,1999.35,False,5
