request_id,unit_number,description,db_category,ml_label,status,priority,created_at,resolved_at
769,501,Bathroom light burned out in Unit 501,ELECTRICAL,ELECTRICAL,IN_PROGRESS,HIGH,2026-05-14 17:39:11,
770,208,Bedroom outlet sparks when plugging in charger in Unit 208,ELECTRICAL,ELECTRICAL,IN_PROGRESS,MEDIUM,2026-05-14 17:39:11,
771,405,Circuit breaker keeps tripping in Unit 405,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:11,
772,503,Wall crack appearing in Unit 503 bedroom,STRUCTURAL,HVAC_AC,OPEN,HIGH,2026-05-14 17:39:11,
773,508,Bathroom sink clogged in Unit 508,PLUMBING,PLUMBING,OPEN,MEDIUM,2026-05-14 17:39:11,
774,502,Floor tiles loose in Unit 502 kitchen,STRUCTURAL,STRUCTURAL_DAMAGE,OPEN,MEDIUM,2026-05-14 17:39:11,
775,406,Neighbors too noisy during midnight in Unit 406,OTHER,NOISE_COMPLAINT,OPEN,MEDIUM,2026-05-14 17:39:12,
776,201,Circuit breaker keeps tripping in Unit 201,ELECTRICAL,ELECTRICAL,RESOLVED,LOW,2026-05-14 17:39:12,
777,504,Bedroom outlet sparks when plugging in charger in Unit 504,ELECTRICAL,ELECTRICAL,IN_PROGRESS,LOW,2026-05-14 17:39:12,
778,407,Ceiling water stain in Unit 407,STRUCTURAL,STRUCTURAL_DAMAGE,RESOLVED,MEDIUM,2026-05-14 17:39:12,
779,205,Power outlet not working in Unit 205,ELECTRICAL,ELECTRICAL,OPEN,HIGH,2026-05-14 17:39:12,
780,401,Low water pressure in shower of Unit 401,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:12,
781,404,Neighbors too noisy during midnight in Unit 404,OTHER,NOISE_COMPLAINT,OPEN,MEDIUM,2026-05-14 17:39:12,
782,309,Door frame damaged in Unit 309,STRUCTURAL,STRUCTURAL_DAMAGE,IN_PROGRESS,LOW,2026-05-14 17:39:12,
783,306,Low water pressure in shower of Unit 306,PLUMBING,PLUMBING,RESOLVED,HIGH,2026-05-14 17:39:12,
784,209,Bathroom light burned out in Unit 209,ELECTRICAL,ELECTRICAL,RESOLVED,MEDIUM,2026-05-14 17:39:13,
785,401,Power outlet not working in Unit 401,ELECTRICAL,ELECTRICAL,OPEN,HIGH,2026-05-14 17:39:13,
786,408,Low water pressure in shower of Unit 408,PLUMBING,PLUMBING,OPEN,HIGH,2026-05-14 17:39:13,
787,401,Internet connection unstable in Unit 401,OTHER,INTERNET_ISSUE,IN_PROGRESS,MEDIUM,2026-05-14 17:39:13,
788,505,Bad smell in hallway near Unit 505,OTHER,HVAC_AC,RESOLVED,LOW,2026-05-14 17:39:13,
789,201,Bathroom sink clogged in Unit 201,PLUMBING,PLUMBING,RESOLVED,LOW,2026-05-14 17:39:13,
790,306,Bathroom light burned out in Unit 306,ELECTRICAL,ELECTRICAL,RESOLVED,LOW,2026-05-14 17:39:13,
791,406,Bad smell in hallway near Unit 406,OTHER,HVAC_AC,RESOLVED,MEDIUM,2026-05-14 17:39:13,
792,505,Aircon leaking in Unit 505 bedroom,OTHER,HVAC_AC,OPEN,HIGH,2026-05-14 17:39:13,
