tenant_id,unit_number,billing_month,monthly_rent,water_amount,total_due,due_day,days_late,paid_on_time,paid_within_7_days,paid_within_30_days,seriously_delayed,previous_late_count,previous_unpaid_count,average_delay_last_3_months,average_delay_last_6_months,payment_method,partial_payment_flag,risk_label
173,201,2026-01-01,24585.0,2918.7,27503.7,10,0,True,True,True,False,0,0,0,0,CASH,False,LOW
173,201,2026-04-01,24585.0,2084.85,26669.85,10,5,False,True,True,False,0,0,0,0,CASH,False,LOW
174,202,2026-01-01,12967.0,2609.1,15576.1,10,0,True,True,True,False,3,0,10.0,10.0,GCASH,False,MEDIUM
174,202,2026-04-01,12967.0,2188.8,15155.8,10,0,True,True,True,False,3,0,8.7,8.7,GCASH,False,MEDIUM
175,203,2026-01-01,13413.0,2113.2,15526.2,15,0,True,True,True,False,3,0,3.7,3.7,GCASH,False,MEDIUM
175,203,2026-04-01,13413.0,2383.2,15796.2,15,0,True,True,True,False,2,0,3.5,3.5,GCASH,False,LOW
176,204,2026-01-01,12762.0,2150.1,14912.1,10,0,True,True,True,False,1,0,11.0,11.0,CASH,False,LOW
176,204,2026-04-01,12762.0,2056.05,17115.21,10,35,False,False,False,True,1,0,7.0,7.0,UNKNOWN,False,HIGH
177,205,2026-01-01,12918.0,1350.0,14268.0,10,3,False,True,True,False,2,0,5.5,5.5,GCASH,False,LOW
177,205,2026-04-01,12918.0,3006.9,15924.9,10,0,True,True,True,False,1,1,3.0,3.0,GCASH,False,LOW
178,206,2026-01-01,12073.0,2626.2,14699.2,5,0,True,True,True,False,1,0,2.0,2.0,CASH,False,LOW
178,206,2026-04-01,12073.0,2042.55,14115.55,5,0,True,True,True,False,1,0,2.0,2.0,GCASH,False,LOW
179,207,2026-01-01,22061.0,2689.2,24750.2,10,0,True,True,True,False,1,0,6.0,6.0,GCASH,False,LOW
179,207,2026-04-01,22061.0,2468.7,28500.68,10,35,False,False,False,True,1,1,6.0,6.0,UNKNOWN,False,HIGH
180,208,2026-01-01,8991.0,2695.95,11686.95,10,0,True,True,True,False,1,0,7.0,7.0,GCASH,False,LOW
180,208,2026-04-01,8991.0,1507.05,12116.43,10,35,False,False,False,True,0,0,0,0,UNKNOWN,False,HIGH
181,209,2026-01-01,8589.0,1350.0,9939.0,5,0,True,True,True,False,2,0,13.0,13.0,GCASH,False,LOW
181,209,2026-04-01,8589.0,2209.05,12344.07,5,40,False,False,False,True,2,1,15.5,15.5,UNKNOWN,False,HIGH
182,210,2026-01-01,15421.0,2068.65,17489.65,10,5,False,True,True,False,0,0,0,0,CASH,False,LOW
182,210,2026-04-01,15421.0,1895.4,20092.18,10,35,False,False,False,True,2,0,4.0,4.0,UNKNOWN,False,HIGH
183,301,2026-01-01,20483.0,2778.3,23261.3,15,0,True,True,True,False,1,0,7.0,7.0,CASH,False,LOW
183,301,2026-04-01,20483.0,3620.7,24103.7,15,0,True,True,True,False,2,0,5.5,5.5,GCASH,False,LOW
184,302,2026-01-01,16423.0,2573.55,18996.55,15,0,True,True,True,False,2,0,36.0,36.0,CASH,False,MEDIUM
184,302,2026-04-01,16423.0,2519.1,18942.1,15,6,False,True,True,False,3,0,11.3,11.3,GCASH,False,MEDIUM
185,303,2026-01-01,16615.0,2191.05,18806.05,10,6,False,True,True,False,1,0,7.0,7.0,CASH,False,LOW
185,303,2026-04-01,16615.0,1493.1,18108.1,10,0,True,True,True,False,2,0,6.5,6.5,CASH,False,LOW
186,304,2026-01-01,18790.0,2615.85,21405.85,15,0,True,True,True,False,3,0,12.3,12.3,GCASH,False,MEDIUM
186,304,2026-04-01,18790.0,2112.75,23721.25,15,30,False,False,False,False,0,1,0,0,UNKNOWN,False,LOW
187,305,2026-01-01,22110.0,2417.85,24527.85,5,26,False,False,True,False,0,0,0,0,CASH,False,LOW
187,305,2026-04-01,22110.0,2227.95,24337.95,5,0,True,True,True,False,1,0,26.0,26.0,CASH,False,MEDIUM
