month,total_collected,gcash_collected,cash_collected,on_time_collected,late_collected,partial_collected
2023-06-01,699455.92,454646.35,244809.57,524591.94,174863.98,0.0
2023-07-01,651120.42,423228.28,227892.15,488340.32,162780.11,0.0
2023-07-31,685584.18,445629.71,239954.46,514188.13,171396.04,0.0
2023-08-30,656708.02,426860.21,229847.81,492531.01,164177.0,0.0
2023-09-29,698873.71,454267.91,244605.8,524155.28,174718.43,0.0
2023-10-29,633297.53,411643.39,221654.13,474973.15,158324.38,0.0
2023-11-28,608635.5,395613.08,213022.43,456476.63,152158.88,0.0
2023-12-28,628625.21,408606.39,220018.82,471468.91,157156.3,0.0
2024-01-27,598438.61,388985.09,209453.51,448828.95,149609.65,0.0
2024-02-26,598573.22,389072.59,209500.63,448929.92,149643.31,0.0
2024-03-27,625651.34,406673.37,218977.97,469238.5,156412.83,0.0
2024-04-26,628730.78,408675.01,220055.77,471548.09,157182.7,0.0
2024-05-26,609160.48,395954.31,213206.17,456870.36,152290.12,0.0
2024-06-25,712074.0,462848.1,249225.9,534055.5,178018.5,0.0
2024-07-25,727280.46,472732.3,254548.16,545460.35,181820.12,0.0
2024-08-24,694453.92,451395.05,243058.87,520840.44,173613.48,0.0
2024-09-23,729755.56,474341.12,255414.45,547316.67,182438.89,0.0
2024-10-23,661912.82,430243.33,231669.49,496434.61,165478.2,0.0
2024-11-22,658798.93,428219.3,230579.62,494099.19,164699.73,0.0
2024-12-22,576138.09,374489.76,201648.33,432103.57,144034.52,0.0
2025-01-21,623822.38,405484.55,218337.83,467866.79,155955.6,0.0
2025-02-20,614993.31,399745.65,215247.66,461244.98,153748.33,0.0
2025-03-22,643087.44,418006.84,225080.6,482315.58,160771.86,0.0
2025-04-21,608100.27,395265.18,212835.1,456075.21,152025.07,0.0
2025-05-21,665930.88,432855.07,233075.81,499448.16,166482.72,0.0
2025-06-20,736624.56,478805.96,257818.59,552468.42,184156.14,0.0
2025-07-20,731782.55,475658.66,256123.89,548836.91,182945.64,0.0
2025-08-19,757830.6,492589.89,265240.71,568372.95,189457.65,0.0
2025-09-18,732641.58,476217.02,256424.55,549481.18,183160.39,0.0
2025-10-18,681954.61,443270.5,238684.11,511465.96,170488.65,0.0
2025-11-17,660458.0,429297.7,231160.3,495343.5,165114.5,0.0
2025-12-17,627346.14,407774.99,219571.15,470509.61,156836.54,0.0
2026-01-16,626433.49,407181.77,219251.72,469825.12,156608.37,0.0
2026-02-15,592869.61,385365.25,207504.36,444652.21,148217.4,0.0
2026-03-17,588728.4,382673.46,206054.94,441546.3,147182.1,0.0
2026-04-16,621728.52,404123.54,217604.98,466296.39,155432.13,0.0
