month,total_billed,rent_billed,water_billed,interest_billed,occupied_units,available_units,occupancy_rate
2023-06-01,760278.18,631050.18,122128.69,7099.31,39,19,67.24
2023-07-01,707739.59,625905.33,74792.83,7041.43,39,19,67.24
2023-07-31,745200.19,618851.37,119386.74,6962.08,39,19,67.24
2023-08-30,713813.06,622694.25,84113.5,7005.31,39,19,67.24
2023-09-29,759645.33,651313.32,101004.74,7327.27,39,19,67.24
2023-10-29,688366.88,589763.81,91968.22,6634.84,39,19,67.24
2023-11-28,661560.33,584022.75,70967.32,6570.26,39,19,67.24
2023-12-28,683288.27,577879.12,98908.01,6501.14,39,19,67.24
2024-01-27,650476.75,547772.81,96541.49,6162.44,39,19,67.24
2024-02-26,650623.07,572709.6,71470.49,6442.98,39,19,67.24
2024-03-27,680055.8,587190.68,86259.23,6605.9,39,19,67.24
2024-04-26,683403.02,606718.5,69858.94,6825.58,39,19,67.24
2024-05-26,662130.95,576095.61,79554.27,6481.08,39,19,67.24
2024-06-25,773993.48,680294.13,86046.04,7653.31,39,19,67.24
2024-07-25,790522.24,685782.66,97024.53,7715.05,39,19,67.24
2024-08-24,754841.22,662077.06,85315.79,7448.37,39,19,67.24
2024-09-23,793212.57,679727.24,105838.4,7646.93,39,19,67.24
2024-10-23,719470.45,620359.96,92131.44,6979.05,39,19,67.24
2024-11-22,716085.79,620497.47,88607.73,6980.6,39,19,67.24
2024-12-22,626237.06,549738.5,70313.99,6184.56,39,19,67.24
2025-01-21,678067.81,596213.82,75146.58,6707.41,39,19,67.24
2025-02-20,668470.99,582764.34,79150.55,6556.1,39,19,67.24
2025-03-22,699008.09,610844.51,81291.58,6872.0,39,19,67.24
2025-04-21,660978.56,582421.0,72005.33,6552.24,39,19,67.24
2025-05-21,723837.92,638158.5,78500.14,7179.28,39,19,67.24
2025-06-20,800678.87,674689.51,118399.1,7590.26,39,19,67.24
2025-07-20,795415.82,702477.06,85035.89,7902.87,39,19,67.24
2025-08-19,823728.91,711951.32,103768.14,8009.45,39,19,67.24
2025-09-18,796349.54,699126.13,89358.24,7865.17,39,19,67.24
2025-10-18,741255.01,635414.7,98691.9,7148.42,39,19,67.24
2025-11-17,717889.13,621022.54,89880.08,6986.5,39,19,67.24
2025-12-17,681897.98,584910.11,90407.63,6580.24,39,19,67.24
2026-01-16,680905.97,582237.06,92118.74,6550.17,39,19,67.24
2026-02-15,697493.66,591609.84,99228.21,6655.61,39,19,67.24
2026-03-17,692621.65,599264.45,86615.47,6741.73,39,19,67.24
2026-04-16,731445.31,626580.87,97815.41,7049.03,39,19,67.24
