month,total_consumption,average_consumption,min_consumption,max_consumption,occupied_units,season
2023-06-01,2505.21,64.24,38.54,89.93,39,Summer
2023-07-01,1789.12,45.87,27.52,64.22,39,Summer
2023-07-31,2492.26,63.9,38.34,89.47,39,Summer
2023-08-30,1772.3,45.44,27.27,63.62,39,Summer
2023-09-29,2107.12,54.03,32.42,75.64,39,Fall
2023-10-29,1859.09,47.67,28.6,66.74,39,Fall
2023-11-28,1678.04,43.03,25.82,60.24,39,Fall
2023-12-28,2133.57,54.71,32.82,76.59,39,Winter
2024-01-27,2175.49,55.78,33.47,78.09,39,Winter
2024-02-26,1705.73,43.74,26.24,61.23,39,Winter
2024-03-27,1984.18,50.88,30.53,71.23,39,Spring
2024-04-26,1684.67,43.2,25.92,60.48,39,Spring
2024-05-26,1889.9,48.46,29.08,67.84,39,Spring
2024-06-25,2037.01,52.23,31.34,73.12,39,Summer
2024-07-25,2283.83,58.56,35.14,81.98,39,Summer
2024-08-24,1795.81,46.05,27.63,64.47,39,Summer
2024-09-23,2223.12,57.0,34.2,79.8,39,Fall
2024-10-23,1946.71,49.92,29.95,69.88,39,Fall
2024-11-22,1905.84,48.87,29.32,68.41,39,Fall
2024-12-22,1588.69,40.74,24.44,57.03,39,Winter
2025-01-21,1557.4,39.93,23.96,55.91,39,Winter
2025-02-20,1751.51,44.91,26.95,62.87,39,Winter
2025-03-22,1660.75,42.58,25.55,59.62,39,Spring
2025-04-21,1659.0,42.54,25.52,59.55,39,Spring
2025-05-21,1716.74,44.02,26.41,61.63,39,Spring
2025-06-20,2474.31,63.44,38.07,88.82,39,Summer
2025-07-20,1934.01,49.59,29.75,69.43,39,Summer
2025-08-19,2268.13,58.16,34.89,81.42,39,Summer
2025-09-18,1935.23,49.62,29.77,69.47,39,Fall
2025-10-18,2334.05,59.85,35.91,83.79,39,Fall
2025-11-17,2051.98,52.61,31.57,73.66,39,Fall
2025-12-17,2125.28,54.49,32.7,76.29,39,Winter
2026-01-16,2127.83,54.56,32.74,76.38,39,Winter
2026-02-15,2180.43,55.91,33.55,78.27,39,Winter
2026-03-17,1969.7,50.51,30.3,70.71,39,Spring
2026-04-16,2265.97,58.1,34.86,81.34,39,Spring
